id,Driver,Compound,Race,Year,PitStop,LapNumber,Stint,TyreLife,Position,LapTime (s),LapTime_Delta,Cumulative_Degradation,RaceProgress,Position_Change,PitNextLap
0,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,1.0,1.0,1.0,17.0,101.738,0.0,0.0,0.0172413793103448,0.0,0
1,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,2.0,1.0,2.0,16.0,93.227,-8.510999999999996,-8.510999999999996,0.0344827586206896,1.0,0
2,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,3.0,1.0,3.0,16.0,92.356,-0.8710000000000093,-9.382000000000003,0.0517241379310344,0.0,0
3,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,4.0,1.0,4.0,16.0,93.137,0.7810000000000059,-8.600999999999999,0.0689655172413793,0.0,0
4,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,5.0,1.0,5.0,15.0,92.652,-0.4849999999999994,-9.086,0.0862068965517241,1.0,0
5,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,6.0,1.0,6.0,15.0,92.302,-0.3499999999999943,-9.435999999999993,0.1034482758620689,0.0,0
6,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,7.0,1.0,7.0,15.0,91.987,-0.3150000000000119,-9.751000000000005,0.1206896551724138,0.0,0
7,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,8.0,1.0,8.0,15.0,92.303,0.3160000000000025,-9.435000000000002,0.1379310344827586,0.0,0
8,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,9.0,1.0,9.0,15.0,92.406,0.1030000000000086,-9.331999999999994,0.1551724137931034,0.0,0
9,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,10.0,1.0,10.0,15.0,92.55,0.1439999999999912,-9.188000000000002,0.1724137931034483,0.0,0
10,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,11.0,1.0,11.0,15.0,93.387,0.8370000000000033,-8.350999999999999,0.1896551724137931,0.0,0
11,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,12.0,1.0,12.0,16.0,95.463,2.0759999999999934,-6.275000000000006,0.2068965517241379,-1.0,1
12,ALB,HARD,Abu Dhabi Grand Prix,2022,1,13.0,2.0,1.0,20.0,111.113,0.0,0.0,0.2241379310344827,-4.0,0
13,ALB,HARD,Abu Dhabi Grand Prix,2022,0,14.0,2.0,2.0,20.0,90.982,-20.131,-20.131,0.2413793103448276,0.0,0
14,ALB,HARD,Abu Dhabi Grand Prix,2022,0,15.0,2.0,3.0,18.0,91.43,0.4480000000000075,-19.682999999999996,0.2586206896551724,2.0,0
15,ALB,HARD,Abu Dhabi Grand Prix,2022,0,16.0,2.0,4.0,16.0,91.585,0.1549999999999869,-19.52800000000001,0.2758620689655172,2.0,0
16,ALB,HARD,Abu Dhabi Grand Prix,2022,0,17.0,2.0,5.0,16.0,91.496,-0.0889999999999986,-19.617000000000004,0.293103448275862,0.0,0
17,ALB,HARD,Abu Dhabi Grand Prix,2022,0,18.0,2.0,6.0,16.0,91.836,0.3400000000000034,-19.277,0.3103448275862069,0.0,0
18,ALB,HARD,Abu Dhabi Grand Prix,2022,0,19.0,2.0,7.0,16.0,91.691,-0.144999999999996,-19.422,0.3275862068965517,0.0,0
19,ALB,HARD,Abu Dhabi Grand Prix,2022,0,20.0,2.0,8.0,15.0,91.835,0.1439999999999912,-19.27800000000001,0.3448275862068966,1.0,0
20,ALB,HARD,Abu Dhabi Grand Prix,2022,0,21.0,2.0,9.0,15.0,91.929,0.0940000000000083,-19.184,0.3620689655172414,0.0,0
21,ALB,HARD,Abu Dhabi Grand Prix,2022,0,22.0,2.0,10.0,15.0,91.975,0.0459999999999922,-19.138000000000005,0.3793103448275862,0.0,0
22,ALB,HARD,Abu Dhabi Grand Prix,2022,0,23.0,2.0,11.0,14.0,91.717,-0.2579999999999955,-19.396,0.396551724137931,1.0,0
23,ALB,HARD,Abu Dhabi Grand Prix,2022,0,24.0,2.0,12.0,14.0,91.918,0.2010000000000076,-19.194999999999997,0.4137931034482758,0.0,0
24,ALB,HARD,Abu Dhabi Grand Prix,2022,0,25.0,2.0,13.0,13.0,91.61,-0.3080000000000069,-19.503,0.4310344827586206,1.0,0
25,ALB,HARD,Abu Dhabi Grand Prix,2022,0,26.0,2.0,14.0,12.0,91.631,0.0210000000000007,-19.482,0.4482758620689655,1.0,0
26,ALB,HARD,Abu Dhabi Grand Prix,2022,0,27.0,2.0,15.0,12.0,91.624,-0.007000000000005,-19.489000000000004,0.4655172413793103,0.0,0
27,ALB,HARD,Abu Dhabi Grand Prix,2022,0,28.0,2.0,16.0,11.0,91.521,-0.1029999999999944,-19.592,0.4827586206896552,1.0,0
28,ALB,HARD,Abu Dhabi Grand Prix,2022,0,29.0,2.0,17.0,11.0,91.487,-0.034000000000006,-19.626000000000005,0.5,0.0,0
29,ALB,HARD,Abu Dhabi Grand Prix,2022,0,30.0,2.0,18.0,11.0,91.451,-0.0360000000000013,-19.66200000000001,0.5172413793103449,0.0,0
30,ALB,HARD,Abu Dhabi Grand Prix,2022,0,31.0,2.0,19.0,11.0,91.587,0.1360000000000099,-19.526,0.5344827586206896,0.0,0
31,ALB,HARD,Abu Dhabi Grand Prix,2022,0,32.0,2.0,20.0,11.0,91.496,-0.0910000000000081,-19.617000000000004,0.5517241379310345,0.0,0
32,ALB,HARD,Abu Dhabi Grand Prix,2022,0,33.0,2.0,21.0,11.0,91.55,0.054000000000002,-19.563,0.5689655172413793,0.0,0
33,ALB,HARD,Abu Dhabi Grand Prix,2022,0,34.0,2.0,22.0,11.0,91.509,-0.0409999999999968,-19.604,0.5862068965517241,0.0,0
34,ALB,HARD,Abu Dhabi Grand Prix,2022,0,35.0,2.0,23.0,12.0,94.033,2.524000000000001,-17.08,0.603448275862069,-1.0,1
35,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,1,36.0,3.0,1.0,15.0,111.369,0.0,0.0,0.6206896551724138,-3.0,0
36,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,37.0,3.0,2.0,15.0,90.09,-21.279,-21.279,0.6379310344827587,0.0,0
37,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,38.0,3.0,3.0,15.0,89.974,-0.1159999999999996,-21.395,0.6551724137931034,0.0,0
38,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,39.0,3.0,4.0,15.0,90.023,0.0489999999999923,-21.346000000000004,0.6724137931034483,0.0,0
39,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,40.0,3.0,5.0,15.0,89.939,-0.0840000000000031,-21.430000000000007,0.6896551724137931,0.0,0
40,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,41.0,3.0,6.0,15.0,90.139,0.2000000000000028,-21.230000000000004,0.7068965517241379,0.0,0
41,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,42.0,3.0,7.0,15.0,90.378,0.2390000000000043,-20.991,0.7241379310344828,0.0,0
42,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,43.0,3.0,8.0,15.0,90.241,-0.1370000000000004,-21.128,0.7413793103448276,0.0,0
43,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,44.0,3.0,9.0,15.0,90.218,-0.0229999999999961,-21.151,0.7586206896551724,0.0,0
44,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,45.0,3.0,10.0,14.0,90.76,0.5420000000000016,-20.608999999999995,0.7758620689655172,1.0,0
45,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,46.0,3.0,11.0,13.0,90.896,0.1359999999999956,-20.473,0.7931034482758621,1.0,0
46,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,47.0,3.0,12.0,13.0,90.976,0.0799999999999983,-20.393,0.8103448275862069,0.0,0
47,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,48.0,3.0,13.0,13.0,91.124,0.1479999999999961,-20.245000000000005,0.8275862068965517,0.0,0
48,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,49.0,3.0,14.0,13.0,91.795,0.6710000000000065,-19.574,0.8448275862068966,0.0,0
49,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,50.0,3.0,15.0,13.0,91.925,0.1299999999999954,-19.444000000000003,0.8620689655172413,0.0,0
50,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,51.0,3.0,16.0,13.0,92.564,0.6389999999999958,-18.805000000000007,0.8793103448275862,0.0,0
51,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,52.0,3.0,17.0,13.0,93.467,0.9030000000000058,-17.902,0.896551724137931,0.0,0
52,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,53.0,3.0,18.0,13.0,92.523,-0.9440000000000026,-18.846000000000004,0.913793103448276,0.0,0
53,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,54.0,3.0,19.0,13.0,92.825,0.3020000000000067,-18.544,0.9310344827586208,0.0,0
54,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,55.0,3.0,20.0,13.0,95.096,2.271000000000001,-16.272999999999996,0.9482758620689656,0.0,0
55,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,56.0,3.0,21.0,12.0,93.126,-1.9699999999999989,-18.242999999999995,0.9655172413793104,1.0,0
56,ALB,MEDIUM,Abu Dhabi Grand Prix,2022,0,57.0,3.0,22.0,13.0,93.882,0.7560000000000002,-17.486999999999995,0.9827586206896552,-1.0,0
57,ALO,MEDIUM,Abu Dhabi Grand Prix,2022,0,1.0,1.0,1.0,10.0,98.193,0.0,0.0,0.0172413793103448,0.0,0
58,ALO,MEDIUM,Abu Dhabi Grand Prix,2022,0,2.0,1.0,2.0,10.0,92.329,-5.864000000000004,-5.864000000000004,0.0344827586206896,0.0,0
59,ALO,MEDIUM,Abu Dhabi Grand Prix,2022,0,3.0,1.0,3.0,10.0,91.539,-0.789999999999992,-6.653999999999996,0.0517241379310344,0.0,0
60,ALO,MEDIUM,Abu Dhabi Grand Prix,2022,0,4.0,1.0,4.0,10.0,91.618,0.0789999999999935,-6.575000000000003,0.0689655172413793,0.0,0
61,ALO,MEDIUM,Abu Dhabi Grand Prix,2022,0,5.0,1.0,5.0,10.0,91.638,0.0200000000000102,-6.554999999999993,0.0862068965517241,0.0,0
62,ALO,MEDIUM,Abu Dhabi Grand Prix,2022,0,6.0,1.0,6.0,10.0,92.035,0.3969999999999913,-6.158000000000001,0.1034482758620689,0.0,0
63,ALO,MEDIUM,Abu Dhabi Grand Prix,2022,0,7.0,1.0,7.0,10.0,91.836,-0.198999999999998,-6.356999999999999,0.1206896551724138,0.0,0
64,ALO,MEDIUM,Abu Dhabi Grand Prix,2022,0,8.0,1.0,8.0,10.0,92.527,0.6910000000000025,-5.665999999999997,0.1379310344827586,0.0,0
65,ALO,MEDIUM,Abu Dhabi Grand Prix,2022,0,9.0,1.0,9.0,10.0,92.452,-0.0750000000000028,-5.741,0.1551724137931034,0.0,0
66,ALO,MEDIUM,Abu Dhabi Grand Prix,2022,0,10.0,1.0,10.0,10.0,92.562,0.1099999999999994,-5.631,0.1724137931034483,0.0,0
